"fk_lieu","lieu_naissance","eff","geo_coord"
http://www.wikidata.org/entity/Q87,Alexandria,8,Point(29.8925 31.1975)
http://www.wikidata.org/entity/Q1022,Stuttgart,7,Point(9.18 48.7775)
http://www.wikidata.org/entity/Q1033,Nigeria,7,Point(8.0 9.0)
http://www.wikidata.org/entity/Q1296,Ghent,7,Point(3.725277777 51.053611111)
http://www.wikidata.org/entity/Q18426,The Bronx,7,Point(-73.873207 40.84676)
http://www.wikidata.org/entity/Q1953,Yerevan,7,Point(44.514444444 40.181388888)
http://www.wikidata.org/entity/Q220,Rome,7,Point(12.482777777 41.893055555)
http://www.wikidata.org/entity/Q23556,Atlanta,7,Point(-84.390277777 33.756944444)
http://www.wikidata.org/entity/Q2933,Asunción,7,Point(-57.633333333 -25.3)
http://www.wikidata.org/entity/Q34370,Rotterdam,7,Point(4.48 51.92)
http://www.wikidata.org/entity/Q34404,New Orleans,7,Point(-90.078333333 29.976111111)
http://www.wikidata.org/entity/Q365,Cologne,7,Point(6.957777777 50.942222222)
http://www.wikidata.org/entity/Q3711,Belgrade,7,Point(20.456944444 44.817777777)
http://www.wikidata.org/entity/Q3718,Dakar,7,Point(-17.457222222 14.731944444)
http://www.wikidata.org/entity/Q3766,Damascus,7,Point(36.291944444 33.513055555)
http://www.wikidata.org/entity/Q37995,Yangon,7,Point(96.16 16.795)
http://www.wikidata.org/entity/Q398,Bahrain,7,Point(50.551111 26.0675)
http://www.wikidata.org/entity/Q490,Milan,7,Point(9.19 45.466944444)
http://www.wikidata.org/entity/Q5465,Cape Town,7,Point(18.423888888 -33.925277777)
http://www.wikidata.org/entity/Q585,Oslo,7,Point(10.738888888 59.913333333)
http://www.wikidata.org/entity/Q72,Zürich,7,Point(8.541111111 47.374444444)
http://www.wikidata.org/entity/Q79,Egypt,7,Point(29.0 27.0)
http://www.wikidata.org/entity/Q7903,Casablanca,7,Point(-7.62 33.599166666)
http://www.wikidata.org/entity/Q8660,Karachi,7,Point(67.01 24.86)
http://www.wikidata.org/entity/Q889,Afghanistan,7,Point(66.0 33.0)
http://www.wikidata.org/entity/Q10313,San Sebastián,6,Point(-1.98 43.32)
http://www.wikidata.org/entity/Q148,People's Republic of China,6,Point(103.451944444 35.844722222)
http://www.wikidata.org/entity/Q1524,Athens,6,Point(23.728055555 37.984166666)
http://www.wikidata.org/entity/Q17042,Oakland,6,Point(-122.25 37.8)
http://www.wikidata.org/entity/Q172,Toronto,6,Point(-79.386666666 43.670277777)
http://www.wikidata.org/entity/Q26793,Bergen,6,Point(5.323333333 60.3925)
http://www.wikidata.org/entity/Q3001,Paramaribo,6,Point(-55.166666666 5.866666666)
http://www.wikidata.org/entity/Q30096,Frederiksberg,6,Point(12.536388888 55.6775)
http://www.wikidata.org/entity/Q3551,Rabat,6,Point(-6.836111111 34.025277777)
http://www.wikidata.org/entity/Q37320,Cleveland,6,Point(-81.669722222 41.482222222)
http://www.wikidata.org/entity/Q3894,Kampala,6,Point(32.581111111 0.313611111)
http://www.wikidata.org/entity/Q42308,Kharkiv,6,Point(36.231111111 49.9925)
http://www.wikidata.org/entity/Q5092,Baltimore,6,Point(-76.615 39.286388888)
http://www.wikidata.org/entity/Q70,Bern,6,Point(7.44743 46.94798)
http://www.wikidata.org/entity/Q774,Guatemala,6,Point(-90.25 15.5)
http://www.wikidata.org/entity/Q10686,Belfast,5,Point(-5.93 54.596388888)
http://www.wikidata.org/entity/Q115329,Camagüey,5,Point(-77.918611111 21.378611111)
http://www.wikidata.org/entity/Q1449,Genoa,5,Point(8.933983333 44.407186111)
http://www.wikidata.org/entity/Q1491,La Paz,5,Point(-68.133333333 -16.495833333)
http://www.wikidata.org/entity/Q16555,Houston,5,Point(-95.383055555 29.762777777)
http://www.wikidata.org/entity/Q16562,El Paso,5,Point(-106.488611111 31.759166666)
http://www.wikidata.org/entity/Q1773,Riga,5,Point(24.106944444 56.9475)
http://www.wikidata.org/entity/Q21,England,5,Point(-1.0 53.0)
http://www.wikidata.org/entity/Q23436,Edinburgh,5,Point(-3.189166666 55.953333333)
http://www.wikidata.org/entity/Q268,Poznań,5,Point(16.933611111 52.408333333)
http://www.wikidata.org/entity/Q28848,Saint Paul,5,Point(-93.093611111 44.944166666)
http://www.wikidata.org/entity/Q34261,Port-au-Prince,5,Point(-72.338611111 18.5425)
http://www.wikidata.org/entity/Q34820,Santo Domingo,5,Point(-69.893333333 18.476388888)
http://www.wikidata.org/entity/Q3561,Algiers,5,Point(3.058611111 36.776388888)
http://www.wikidata.org/entity/Q3640,Ankara,5,Point(32.83869 39.93576)
http://www.wikidata.org/entity/Q374365,Jeddah,5,Point(39.172777777 21.542777777)
http://www.wikidata.org/entity/Q41819,Kansas City,5,Point(-94.583333333 39.05)
http://www.wikidata.org/entity/Q43199,Omaha,5,Point(-95.9375 41.258611111)
http://www.wikidata.org/entity/Q5196,Grozny,5,Point(45.698611111 43.3125)
http://www.wikidata.org/entity/Q580,Łódź,5,Point(19.466666666 51.75)
http://www.wikidata.org/entity/Q586,Bonn,5,Point(7.099722222 50.733888888)
http://www.wikidata.org/entity/Q83065,Leicester,5,Point(-1.133333333 52.633333333)
http://www.wikidata.org/entity/Q8692,Bilbao,5,Point(-2.953333333 43.262222222)
http://www.wikidata.org/entity/Q8717,Seville,5,Point(-5.983333333 37.383333333)
http://www.wikidata.org/entity/Q8818,Valencia,5,Point(-0.376388888 39.47)
http://www.wikidata.org/entity/Q9005,Brussels metropolitan area,5,Point(4.3525 50.846666666)
http://www.wikidata.org/entity/Q987,New Delhi,5,Point(77.208888888 28.613888888)
http://www.wikidata.org/entity/Q1002525,Curepipe,4,Point(57.52028 -20.31472)
http://www.wikidata.org/entity/Q1023364,Jutiapa,4,Point(-89.895833333 14.291666666)
http://www.wikidata.org/entity/Q10305,Zaragoza,4,Point(-0.883333333 41.65)
http://www.wikidata.org/entity/Q1045,Somalia,4,Point(47.0 6.0)
http://www.wikidata.org/entity/Q1049,Sudan,4,Point(32.0 15.0)
http://www.wikidata.org/entity/Q11025,Semarang,4,Point(110.4225 -6.99)
http://www.wikidata.org/entity/Q118958,Leuven,4,Point(4.704444 50.8775)
http://www.wikidata.org/entity/Q11974,Las Palmas de Gran Canaria,4,Point(-15.431388888 28.127222222)
http://www.wikidata.org/entity/Q1199713,Batavia,4,Point(106.813222 -6.134836)
http://www.wikidata.org/entity/Q131818,Oran,4,Point(-0.633055555 35.696944444)
http://www.wikidata.org/entity/Q1342,Pittsburgh,4,Point(-80.0 40.441666666)
http://www.wikidata.org/entity/Q1353,Delhi,4,Point(77.216666666 28.666666666)
http://www.wikidata.org/entity/Q1355,Bengaluru,4,Point(77.5912997 12.9791198)
http://www.wikidata.org/entity/Q1384,New York,4,Point(-75.0 43.0)
http://www.wikidata.org/entity/Q1479,Bordeaux,4,Point(-0.579444444 44.837777777)
http://www.wikidata.org/entity/Q1530,Baghdad,4,Point(44.366111111 33.315277777)
http://www.wikidata.org/entity/Q157144,Vinnytsia,4,Point(28.467222222 49.237222222)
http://www.wikidata.org/entity/Q16520,Busan,4,Point(129.075 35.18)
http://www.wikidata.org/entity/Q16554,Denver,4,Point(-104.984722222 39.739166666)
http://www.wikidata.org/entity/Q16563,Memphis,4,Point(-89.971111111 35.1175)
http://www.wikidata.org/entity/Q1733,Magdeburg,4,Point(11.6399609 52.1315889)
http://www.wikidata.org/entity/Q1770,Tallinn,4,Point(24.745 59.437222222)
http://www.wikidata.org/entity/Q1799,Wrocław,4,Point(17.0325 51.11)
http://www.wikidata.org/entity/Q183,Germany,4,Point(10.0 51.0)
http://www.wikidata.org/entity/Q183298,Ibadan,4,Point(3.916666666 7.396388888)
http://www.wikidata.org/entity/Q185458,Quetta,4,Point(67.007 30.192)
http://www.wikidata.org/entity/Q1963,Khartoum,4,Point(32.52654 15.60308)
http://www.wikidata.org/entity/Q19770,Sichuan,4,Point(103.0 30.0)
http://www.wikidata.org/entity/Q2044,Florence,4,Point(11.254166666 43.771388888)
http://www.wikidata.org/entity/Q222279,Bukavu,4,Point(28.866666666 -2.5)
http://www.wikidata.org/entity/Q2263449,Crater District,4,Point(45.0381 12.7731)
http://www.wikidata.org/entity/Q244139,Pinar del Río,4,Point(-83.671944444 22.412222222)
http://www.wikidata.org/entity/Q2449,Mogadishu,4,Point(45.341944444 2.039166666)
http://www.wikidata.org/entity/Q249994,Hsinchu City,4,Point(120.971388888 24.804722222)
http://www.wikidata.org/entity/Q25319,Aarhus,4,Point(10.209722222 56.156388888)
http://www.wikidata.org/entity/Q25331,Odense,4,Point(10.383333333 55.4)
http://www.wikidata.org/entity/Q270230,"8th arrondissement of Paris",4,Point(2.311111111 48.874166666)
http://www.wikidata.org/entity/Q2773,Brunswick,4,Point(10.521111111 52.269166666)
http://www.wikidata.org/entity/Q29364,Montgomery,4,Point(-86.3 32.3675)
http://www.wikidata.org/entity/Q3110,San Salvador,4,Point(-89.191427777 13.698963888)
http://www.wikidata.org/entity/Q3286018,Mankono department,4,Point(-6.19 8.06)
http://www.wikidata.org/entity/Q333476,Ségou,4,Point(-6.266666666 13.45)
http://www.wikidata.org/entity/Q33935,Tel Aviv-Yafo,4,Point(34.78 32.08)
http://www.wikidata.org/entity/Q35,Denmark,4,Point(10.0 56.0)
http://www.wikidata.org/entity/Q3889,Maputo,4,Point(32.576388888 -25.915277777)
http://www.wikidata.org/entity/Q3933,Celle,4,Point(10.0825 52.625555555)
http://www.wikidata.org/entity/Q3992,Liège,4,Point(5.570555555 50.639722222)
http://www.wikidata.org/entity/Q399322,Mutare,4,Point(32.67086 -18.9707)
http://www.wikidata.org/entity/Q40435,Buffalo,4,Point(-78.878055555 42.886388888)
http://www.wikidata.org/entity/Q40844,Breda,4,Point(4.775833333 51.588888888)
http://www.wikidata.org/entity/Q43196,Cincinnati,4,Point(-84.5125 39.1)
http://www.wikidata.org/entity/Q437,Ljubljana,4,Point(14.506111111 46.051388888)
http://www.wikidata.org/entity/Q44210,Córdoba,4,Point(-64.183333333 -31.416666666)
http://www.wikidata.org/entity/Q472,Sofia,4,Point(23.321726 42.697886)
http://www.wikidata.org/entity/Q47837,Laayoune,4,Point(-13.2 27.15)
http://www.wikidata.org/entity/Q4929370,Tram Kak District,4,Point(104.60821 11.00998)
http://www.wikidata.org/entity/Q5083,Seattle,4,Point(-122.33207 47.60621)
http://www.wikidata.org/entity/Q52535,Rosario,4,Point(-60.639444444 -32.9575)
http://www.wikidata.org/entity/Q5468,Durban,4,Point(31.025 -29.858333333)
http://www.wikidata.org/entity/Q6346,Indianapolis,4,Point(-86.158055555 39.768611111)
http://www.wikidata.org/entity/Q71,Geneva,4,Point(6.15 46.2)
http://www.wikidata.org/entity/Q749,Groningen,4,Point(6.5675 53.218888888)
http://www.wikidata.org/entity/Q761,Białystok,4,Point(23.166666666 53.116666666)
http://www.wikidata.org/entity/Q79875,Mobile,4,Point(-88.052672222 30.727669444)
http://www.wikidata.org/entity/Q805,Yemen,4,Point(48.0 15.5)
http://www.wikidata.org/entity/Q80985,Fez,4,Point(-5.003333333 34.043333333)
http://www.wikidata.org/entity/Q812,Florida,4,Point(-81.631666666 28.133333333)
http://www.wikidata.org/entity/Q815913,Lagos,4,Point(3.75 6.583333333)
http://www.wikidata.org/entity/Q833,Malaysia,4,Point(102.314361666 3.7805111)
http://www.wikidata.org/entity/Q83387,Diyarbakır,4,Point(40.236666666 37.910833333)
http://www.wikidata.org/entity/Q8826,Palma,4,Point(2.649722222 39.566666666)
http://www.wikidata.org/entity/Q8851,Málaga,4,Point(-4.416666666 36.716666666)
http://www.wikidata.org/entity/Q891,Nizhny Novgorod,4,Point(44.0075 56.326944444)
http://www.wikidata.org/entity/Q902,Bangladesh,4,Point(89.866667 24.016667)
http://www.wikidata.org/entity/Q974,Democratic Republic of the Congo,4,Point(23.656111111 -2.88)
http://www.wikidata.org/entity/Q10001,Deventer,3,Point(6.2 52.25)
http://www.wikidata.org/entity/Q1037,Rwanda,3,Point(30.0 -2.0)
http://www.wikidata.org/entity/Q10519255,Hedvig Eleonora parish,3,Point(18.08112778 59.33560278)
http://www.wikidata.org/entity/Q10543880,Karlskrona city community,3,Point(15.588055555 56.161111111)
http://www.wikidata.org/entity/Q1054923,British Hong Kong,3,Point(114.16 22.28)
http://www.wikidata.org/entity/Q11194,Sarajevo,3,Point(18.413055555 43.856388888)
http://www.wikidata.org/entity/Q11492,Mataró,3,Point(2.45 41.533333333)
http://www.wikidata.org/entity/Q1186,Kerala,3,Point(76.3 10.0)
http://www.wikidata.org/entity/Q1207051,Xiangxiang,3,Point(112.52229 27.73894)
http://www.wikidata.org/entity/Q12887,Schaerbeek,3,Point(4.373611111 50.8675)
http://www.wikidata.org/entity/Q1310,Arnhem,3,Point(5.916666666 51.983333333)
http://www.wikidata.org/entity/Q13298,Graz,3,Point(15.438611111 47.070833333)
http://www.wikidata.org/entity/Q133073,Dunedin,3,Point(170.503611111 -45.874166666)
http://www.wikidata.org/entity/Q1354,Dhaka,3,Point(90.394444444 23.728888888)
http://www.wikidata.org/entity/Q138367,Camden,3,Point(-75.1066 39.9368)
http://www.wikidata.org/entity/Q138518,Princeton,3,Point(-74.656944444 40.352222222)
http://www.wikidata.org/entity/Q13972,Tartu,3,Point(26.7225 58.38)
http://www.wikidata.org/entity/Q142,France,3,Point(2.0 47.0)
http://www.wikidata.org/entity/Q14314,Santiago de Compostela,3,Point(-8.533333333 42.883333333)
http://www.wikidata.org/entity/Q14318,Vitoria-Gasteiz,3,Point(-2.673055555 42.846666666)
http://www.wikidata.org/entity/Q1461,Manila,3,Point(120.977222222 14.595833333)
http://www.wikidata.org/entity/Q14960,Brno,3,Point(16.608333333 49.195277777)
http://www.wikidata.org/entity/Q1515,Abidjan,3,Point(-4.026666666 5.336388888)
http://www.wikidata.org/entity/Q15180,Soviet Union,3,Point(90.0 65.0)
http://www.wikidata.org/entity/Q1546,Iowa,3,Point(-93.0 42.0)
http://www.wikidata.org/entity/Q155,Brazil,3,Point(-53.0 -14.0)
http://www.wikidata.org/entity/Q15678,Cáceres,3,Point(-6.371111111 39.473055555)
http://www.wikidata.org/entity/Q1570610,Beaver Dam,3,Point(-88.836066 43.459967)
http://www.wikidata.org/entity/Q1588,Louisiana,3,Point(-92.0 31.0)
http://www.wikidata.org/entity/Q16,Canada,3,Point(-109.0 56.0)
http://www.wikidata.org/entity/Q163798,Thrissur,3,Point(76.21 10.52)
http://www.wikidata.org/entity/Q16428275,Hrappsey,3,Point(-22.6 65.11666667)
http://www.wikidata.org/entity/Q16552,San Diego,3,Point(-117.1625 32.715)
http://www.wikidata.org/entity/Q16567,Columbus,3,Point(-83.000555555 39.962222222)
http://www.wikidata.org/entity/Q170996,Galați,3,Point(28.0425 45.423333333)
http://www.wikidata.org/entity/Q1757,Helsinki,3,Point(24.9375 60.170833333)
http://www.wikidata.org/entity/Q18013,Sacramento,3,Point(-121.486111111 38.575277777)
http://www.wikidata.org/entity/Q180921,Omdurman,3,Point(32.462887 15.683517)
http://www.wikidata.org/entity/Q18125,Manchester,3,Point(-2.233333333 53.466666666)
http://www.wikidata.org/entity/Q181376,Hrodna,3,Point(23.816666666 53.666666666)
http://www.wikidata.org/entity/Q181578,Qazvin,3,Point(50.0041 36.285436666)
http://www.wikidata.org/entity/Q1850,Phnom Penh,3,Point(104.921027777 11.569583333)
http://www.wikidata.org/entity/Q1861,Bangkok,3,Point(100.516666666 13.75)
http://www.wikidata.org/entity/Q1867,Taipei,3,Point(121.5625 25.0375)
http://www.wikidata.org/entity/Q187346,Constantine,3,Point(6.614722222 36.365)
http://www.wikidata.org/entity/Q1874,Odesa,3,Point(30.73262 46.47747)
http://www.wikidata.org/entity/Q18785742,Ndjouko,3,Point(21.33333333 4.5)
http://www.wikidata.org/entity/Q1895,Petrozavodsk,3,Point(34.35 61.783333333)
http://www.wikidata.org/entity/Q191204,Sulaymaniyah,3,Point(45.433333333 35.55)
http://www.wikidata.org/entity/Q1929568,Pine Ridge Indian Reservation,3,Point(-102.089166666 43.353333333)
http://www.wikidata.org/entity/Q1930,Ottawa,3,Point(-75.695 45.424722222)
http://www.wikidata.org/entity/Q197297,"17th arrondissement of Paris",3,Point(2.307838888 48.882244444)
http://www.wikidata.org/entity/Q1973,British Columbia,3,Point(-124.5 54.5)
http://www.wikidata.org/entity/Q202954,Verviers,3,Point(5.85 50.583333333)
http://www.wikidata.org/entity/Q203312,Uccle - Ukkel,3,Point(4.333888888 50.803611111)
http://www.wikidata.org/entity/Q2079,Leipzig,3,Point(12.375 51.34)
http://www.wikidata.org/entity/Q208713,Ixelles - Elsene,3,Point(4.366944444 50.833055555)
http://www.wikidata.org/entity/Q20927,Daegu,3,Point(128.601666666 35.871666666)
http://www.wikidata.org/entity/Q2112,Bielefeld,3,Point(8.533333333 52.016666666)
http://www.wikidata.org/entity/Q211590,Santa Clara,3,Point(-79.953055555 22.406666666)
http://www.wikidata.org/entity/Q2119,Mannheim,3,Point(8.466111111 49.487777777)
http://www.wikidata.org/entity/Q2256,Birmingham,3,Point(-1.9025 52.48)
http://www.wikidata.org/entity/Q228405,Madurai,3,Point(78.119394444 9.919661111)
http://www.wikidata.org/entity/Q23154,Bristol,3,Point(-2.5975 51.453611111)
http://www.wikidata.org/entity/Q23197,Nashville,3,Point(-86.774444444 36.162222222)
http://www.wikidata.org/entity/Q233129,Peoria,3,Point(-89.59 40.6925)
http://www.wikidata.org/entity/Q23661,Wellington,3,Point(174.777222222 -41.288888888)
http://www.wikidata.org/entity/Q24639,Vancouver,3,Point(-123.113888888 49.260833333)
http://www.wikidata.org/entity/Q24826,Liverpool,3,Point(-2.991944444 53.4075)
http://www.wikidata.org/entity/Q25410,Aalborg,3,Point(9.916666666 57.05)
http://www.wikidata.org/entity/Q25607,St. Gallen,3,Point(9.377222222 47.423333333)
http://www.wikidata.org/entity/Q25610,Hampstead,3,Point(-0.1744 51.5541)
http://www.wikidata.org/entity/Q25804,Trondheim,3,Point(10.4 63.44)
http://www.wikidata.org/entity/Q272243,Saint-Josse-ten-Noode,3,Point(4.369166666 50.850833333)
http://www.wikidata.org/entity/Q28218,Baton Rouge,3,Point(-91.178611111 30.4475)
http://www.wikidata.org/entity/Q2973,Darmstadt,3,Point(8.65 49.866666666)
http://www.wikidata.org/entity/Q298,Chile,3,Point(-71.0 -33.0)
http://www.wikidata.org/entity/Q3070,San José,3,Point(-84.079580555 9.932511111)
http://www.wikidata.org/entity/Q3104,Koblenz,3,Point(7.597777777 50.359722222)
http://www.wikidata.org/entity/Q31487,Kraków,3,Point(19.937222222 50.061388888)
http://www.wikidata.org/entity/Q3224,New South Wales,3,Point(147.0 -32.0)
http://www.wikidata.org/entity/Q3274,Managua,3,Point(-86.273766666 12.154372222)
http://www.wikidata.org/entity/Q334,Singapore,3,Point(103.8 1.3)
http://www.wikidata.org/entity/Q35381,Colombo,3,Point(79.833333333 6.916666666)
http://www.wikidata.org/entity/Q36,Poland,3,Point(19.0 52.0)
http://www.wikidata.org/entity/Q36036,Lviv,3,Point(24.032222222 49.8425)
http://www.wikidata.org/entity/Q36091,Minneapolis,3,Point(-93.269166666 44.981944444)
http://www.wikidata.org/entity/Q3624,Addis Ababa,3,Point(38.736944444 9.027222222)
http://www.wikidata.org/entity/Q3659,N'Djamena,3,Point(15.05 12.11)
http://www.wikidata.org/entity/Q3692,Riyadh,3,Point(46.71 24.65)
http://www.wikidata.org/entity/Q3777,Ouagadougou,3,Point(-1.5275 12.368611111)
http://www.wikidata.org/entity/Q38022,St. Louis,3,Point(-90.199444444 38.626388888)
http://www.wikidata.org/entity/Q3846,Minden,3,Point(8.916666666 52.288333333)
http://www.wikidata.org/entity/Q3859,Kigali,3,Point(30.060555555 -1.953611111)
http://www.wikidata.org/entity/Q3897,Luanda,3,Point(13.234444444 -8.838333333)
http://www.wikidata.org/entity/Q39178,Port of Spain,3,Point(-61.516666666 10.666666666)
http://www.wikidata.org/entity/Q40738,Bursa,3,Point(29.080538888 40.191330555)
http://www.wikidata.org/entity/Q40898,Nancy,3,Point(6.183611111 48.692777777)
http://www.wikidata.org/entity/Q4093,Glasgow,3,Point(-4.25 55.861111111)
http://www.wikidata.org/entity/Q4120832,Königsberg,3,Point(20.509305555 54.711472222)
http://www.wikidata.org/entity/Q414,Argentina,3,Point(-64.0 -34.0)
http://www.wikidata.org/entity/Q42053,Isfahan,3,Point(51.674722222 32.6525)
http://www.wikidata.org/entity/Q42168,Clermont-Ferrand,3,Point(3.086944444 45.779722222)
http://www.wikidata.org/entity/Q423,North Korea,3,Point(127.0 40.0)
http://www.wikidata.org/entity/Q43407,Shandong,3,Point(118.4 36.4)
http://www.wikidata.org/entity/Q43421,Richmond,3,Point(-77.436666666 37.540833333)
http://www.wikidata.org/entity/Q43788,Madison,3,Point(-89.384166666 43.074722222)
http://www.wikidata.org/entity/Q456,Lyon,3,Point(4.841388888 45.758888888)
http://www.wikidata.org/entity/Q46852,Iași,3,Point(27.588888888 47.162222222)
http://www.wikidata.org/entity/Q47465,Aix-en-Provence,3,Point(5.445555555 43.527777777)
http://www.wikidata.org/entity/Q47887,Nijmegen,3,Point(5.8625 51.8475)
http://www.wikidata.org/entity/Q48958,Neuilly-sur-Seine,3,Point(2.2675 48.887222222)
http://www.wikidata.org/entity/Q49179,Worcester,3,Point(-71.798888888 42.271388888)
