"generations","lieu_naissance","geo_coord","effectif"
"1876-1900",Panama,Point(-80.366667 8.616667),1
"1876-1900",Yankton Indian Reservation,Point(-98.3833 43.0833),1
"1876-1900",Olomouc,Point(17.250833333 49.593888888),1
"1876-1900",Szeged,Point(20.166666666 46.25),1
"1876-1900",Soubise,Point(-1.008888888 45.925277777),1
"1876-1900",Strathfield,Point(151.083 -33.8808),1
"1876-1900",Leicester,Point(-1.133333333 52.633333333),1
"1876-1900",Ostrava,Point(18.2925 49.835555555),1
"1876-1900",Craonne,Point(3.786666666 49.44),1
"1876-1900",London,Point(-0.1275 51.507222222),4
"1876-1900",Montivilliers,Point(0.188055555 49.546111111),1
"1876-1900",Onitsha,Point(6.783333333 6.166666666),1
"1876-1900",Lagos,Point(3.4 6.45),1
"1876-1900",Newcastle-under-Lyme,Point(-2.2278 53.0109),1
"1876-1900",Paris,Point(2.352222222 48.856666666),4
"1876-1900",Brussels metropolitan area,Point(4.3525 50.846666666),1
"1876-1900",Winterthur,Point(8.72671 47.4992),1
"1876-1900",El Vendrell,Point(1.534846 41.220077),1
"1876-1900",La Crosse,Point(-91.233055555 43.813333333),1
"1876-1900",Plumstead,Point(0.079811111 51.486988888),1
"1876-1900",Bavaria,Point(11.385555555 49.078611111),1
"1876-1900",Jefferson,Point(-94.3494 32.7611),1
"1876-1900",Mława,Point(20.366666666 53.116666666),1
"1876-1900",El Escorial,Point(-4.125124 40.581608),1
"1876-1900",Green Cove Springs,Point(-81.683888888 29.992777777),1
"1876-1900",Chincha Alta,Point(-76.133333333 -13.45),1
"1876-1900",Den Helder,Point(4.758888888 52.958333333),1
"1901-1925",Boston,Point(-71.057777777 42.360277777),1
"1901-1925",Curepipe,Point(57.516666666 -20.316666666),1
"1901-1925",Curepipe,Point(57.52028 -20.31472),1
"1901-1925",Urdos,Point(-0.555 42.873055555),1
"1901-1925",Glen Innes,Point(151.736111111 -29.75),1
"1901-1925",Glen Innes,Point(151.7511111 -29.731666666),1
"1901-1925",West Chester,Point(-75.605 39.9586),1
"1901-1925",Sauce,Point(-58.766666666 -30.066666666),1
"1901-1925",Fort Sill,Point(-98.508333333 34.704166666),1
"1901-1925",Opočno,Point(16.114874404 50.267452244),1
"1901-1925",Terebovlia,Point(25.7 49.3),1
"1901-1925",Junín,Point(-60.95 -34.583333333),1
"1901-1925",Yelets,Point(38.466666666 52.616666666),1
"1901-1925",Pontypridd,Point(-3.33682 51.59672),1
"1901-1925",Grafton,Point(152.9344444 -29.681666666),1
"1901-1925",East Prussia,Point(20.483333333 54.733333333),1
"1901-1925",Bandung,Point(107.6187558 -6.9021856),1
"1901-1925",Senegal,Point(-14.283333 14.366667),1
"1901-1925",Hedvig Eleonora parish,Point(18.08112778 59.33560278),1
"1901-1925",Karlskrona city community,Point(15.588055555 56.161111111),1
"1901-1925",Lund Cathedral parish,Point(13.19405 55.70397),1
"1901-1925",Tórshavn,Point(-6.783333333 62.0),1
"1901-1925",Georgetown,Point(-58.150833333 6.805833333),1
"1901-1925",Prague,Point(14.421388888 50.0875),1
"1901-1925",Comanche County,Point(-98.56 31.95),1
"1901-1925",Halden Municipality,Point(11.482778 59.126389),1
"1901-1925",Semarang,Point(110.4225 -6.99),1
"1901-1925",Manhattan,Point(-73.994166666 40.728333333),1
"1901-1925",California,Point(-79.8972 40.0653),1
"1901-1925",Camagüey,Point(-77.918611111 21.378611111),1
"1901-1925",Jerez de los Caballeros,Point(-6.773027777 38.320805555),1
"1901-1925",Villa Clara Province,Point(-79.9542 22.4053),1
"1901-1925",Lahore,Point(74.343611111 31.549722222),1
"1901-1925",Scalp Level,Point(-78.8397 40.2511),1
"1901-1925",Scalp Level,Point(-78.84891 40.2498),1
"1901-1925",Batavia,Point(106.813222 -6.134836),1
"1901-1925",Jerusalem,Point(35.225555555 31.778888888),2
"1901-1925",Ain Qani,Point(35.613888888 33.65),1
"1901-1925",Bethnal Green,Point(-0.066 51.5275),1
"1901-1925",Detroit,Point(-83.0475 42.331666666),1
"1901-1925",Antwerp,Point(4.399722222 51.221111111),1
"1901-1925",Chicago,Point(-87.65005 41.85003),3
"1901-1925",Oudenaarde,Point(3.6 50.85),1
"1901-1925",Shelter Island,Point(-72.350833333 41.078055555),1
"1901-1925",Montevideo,Point(-56.166666666 -34.866666666),2
"1901-1925",Pittsburgh,Point(-80.0 40.441666666),1
"1901-1925",Philadelphia,Point(-75.163611111 39.952777777),3
"1901-1925",Shiraoi,Point(141.355888888 42.551222222),1
"1901-1925",Atlantic City,Point(-74.425 39.3625),1
"1901-1925",Genoa,Point(8.933983333 44.407186111),2
"1901-1925",United Kingdom,Point(-2.0 54.6),1
"1901-1925",Buenos Aires,Point(-58.381944444 -34.599722222),7
"1901-1925",Mexico City,Point(-99.145555555 19.419444444),1
"1901-1925",Barcelona,Point(2.176944444 41.3825),2
"1901-1925",Uttarakhand,Point(78.954012 30.511187),1
"1901-1925",Jericó,Point(-75.785833333 5.791111111),1
"1901-1925",Baghdad,Point(44.366111111 33.315277777),2
"1901-1925",Caracas,Point(-66.933333333 10.5),1
"1901-1925",Iowa,Point(-93.0 42.0),1
"1901-1925",Guatemala City,Point(-90.52525 14.609861111),1
"1901-1925",Havana,Point(-82.358888888 23.136666666),2
"1901-1925",Zhytomyr,Point(28.657777777 50.254444444),1
"1901-1925",Arequipa,Point(-71.536883333 -16.398763888),1
"1901-1925",Ilyinskoye,Point(37.53333333 56.35),1
"1901-1925",Ilyinskoye,Point(37.5903 56.2736),1
"1901-1925",Dudelange,Point(6.083333333 49.483333333),1
"1901-1925",Heraklion,Point(25.134444444 35.340277777),1
"1901-1925","1st arrondissement of Paris",Point(2.342059 48.859947),1
"1901-1925",Vabre,Point(2.426388888 43.693055555),1
"1901-1925",Charlottenburg,Point(13.3 52.516666666),1
"1901-1925",Yorkshire,Point(-1.083333333 53.958333333),1
"1901-1925",Thrissur,Point(76.21 10.52),2
"1901-1925",Denver,Point(-104.984722222 39.739166666),1
"1901-1925",Dallas,Point(-96.808888888 32.779166666),1
"1901-1925",El Paso,Point(-106.488611111 31.759166666),1
"1901-1925",Jacksonville,Point(-81.65 30.316666666),1
"1901-1925",Villa Ángela,Point(-60.716666666 -27.583333333),1
"1901-1925",Soriano Department,Point(-57.752777777 -33.522777777),1
"1901-1925",Ridgewood,Point(-74.114444444 40.983888888),1
"1901-1925",Constantinople,Point(28.98 41.0125),1
"1901-1925",Oakland,Point(-122.25 37.8),1
"1901-1925",Martinique,Point(-61.015 14.65),1
"1901-1925",Aracaju,Point(-37.05 -10.9167),1
"1901-1925",Santa Cruz de la Sierra,Point(-63.1975 -17.789166666),1
"1901-1925","12th arrondissement of Paris",Point(2.388183333 48.840808333),1
"1901-1925",Munich,Point(11.575 48.1375),1
"1901-1925",Dresden,Point(13.74 51.05),1
"1901-1925",Kerte Parish,Point(9.98861111 55.36361111),1
"1901-1925",Faisalabad,Point(73.079 31.418),1
"1901-1925",Changsha,Point(112.97087 28.19874),1
"1901-1925",Vienna,Point(16.3725 48.208333333),2
"1901-1925",Aurillac,Point(2.439722222 44.925277777),1
"1901-1925",Mâcon,Point(4.831944444 46.306666666),1
"1901-1925",Copenhagen,Point(12.568888888 55.676111111),5
"1901-1925",Mataquescuintla,Point(-90.183805555 14.533638888),1
"1901-1925",Dublin,Point(-6.260277777 53.349722222),1
"1901-1925",Budapest,Point(19.040833333 47.498333333),2
"1901-1925",Tranqueras,Point(-55.766666666 -31.183333333),1
"1901-1925",Pilar,Point(-58.914194444 -34.45875),1
"1901-1925",Frankfurt,Point(8.682222222 50.110555555),2
"1901-1925",Wrocław,Point(17.0325 51.11),1
"1901-1925",Qazvin,Point(50.0041 36.285436666),2
"1901-1925",Narrabri,Point(149.767777777 -30.331666666),1
"1901-1925",Providence,Point(-71.41283 41.82399),1
"1901-1925",Gary,Point(-87.345555555 41.580833333),1
"1901-1925",Brooklyn,Point(-73.990277777 40.692777777),3
"1901-1925",The Bronx,Point(-73.873207 40.84676),1
"1901-1925",Viña del Mar,Point(-71.5518 -33.0245),1
"1901-1925",Carrollton,Point(-85.0767 33.5808),1
"1901-1925",Bangkok,Point(100.516666666 13.75),2
"1901-1925",Odesa,Point(30.73262 46.47747),1
"1901-1925",Q18764876,Point(34.98222 51.46694),1
"1901-1925",Ndjouko,Point(19.35 5.13),1
"1901-1925",Ndjouko,Point(19.42412 5.30643),1
"1901-1925",Ndjouko,Point(21.33333333 4.5),1
"1901-1925",Tocopilla,Point(-70.201 -22.0941),1
"1901-1925",Maletín,Point(16.785353599 49.781847296),1
"1901-1925",Villalba de los Alcores,Point(-4.859166666 41.863333333),1
"1901-1925",Pine Ridge Indian Reservation,Point(-102.089166666 43.353333333),1
"1901-1925",Ottawa,Point(-75.695 45.424722222),1
"1901-1925",Alton,Point(-96.01111 42.98667),1
"1901-1925","17th arrondissement of Paris",Point(2.307838888 48.882244444),2
"1901-1925",Attock,Point(72.366666666 33.766666666),1
"1901-1925",Bazar,Point(29.293611111 51.043888888),1
"1901-1925",Verviers,Point(5.85 50.583333333),2
"1901-1925",Deva,Point(22.911666666 45.871944444),1
"1901-1925",Greenwich Village,Point(-74.002777777 40.733611111),1
"1901-1925",Boremschyna,Point(24.213055555 51.2425),1
"1901-1925",Leipzig,Point(12.375 51.34),1
"1901-1925",Kaifeng,Point(114.345 34.795),1
"1901-1925",Ixelles - Elsene,Point(4.366944444 50.833055555),1
"1901-1925",Shobra,Point(31.2408 30.0725),1
"1901-1925",Casilda,Point(-61.168055555 -33.044166666),1
"1901-1925",Vlaardingen,Point(4.35 51.916666666),1
"1901-1925",Herstal,Point(5.63 50.6644),1
"1901-1925",Roeselare,Point(3.123333333 50.944722222),1
"1901-1925",Hjørring,Point(9.986666666 57.46),1
"1901-1925",Chișinău,Point(28.835277777 47.022777777),1
"1901-1925",Wadowice,Point(19.5 49.883333333),1
"1901-1925",Winnipeg,Point(-97.15 49.883333),1
"1901-1925",Gabès,Point(10.098333333 33.881388888),1
"1901-1925",Youngstown,Point(-80.649166666 41.096388888),1
"1901-1925",Rome,Point(12.482777777 41.893055555),1
"1901-1925",Lansdowne,Point(78.68 29.83),1
"1901-1925",Saladillo,Point(-59.766666666 -35.633333333),1
"1901-1925",Birmingham,Point(-1.9025 52.48),1
"1901-1925",Saint-Quay-Portrieux,Point(-2.831111111 48.651944444),1
"1901-1925",Winzingen,Point(8.149429 49.353599),1
"1901-1925",Minsk,Point(27.561837 53.902246),1
"1901-1925",Barboursville,Point(-82.297777777 38.411111111),1
"1901-1925",Rezina,Point(28.962222222 47.749166666),1
"1901-1925",Decatur,Point(-89.1119 32.4394),2
"1901-1925",San Rafael,Point(-68.335555555 -34.6175),2
"1901-1925",Buckinghamshire,Point(-0.8 51.766666666),1
"1901-1925",Peoria,Point(-89.59 40.6925),2
"1901-1925",La Teste-de-Buch,Point(-1.14823 44.630995),1
"1901-1925",Tlemcen Province,Point(-1.316666666 34.883333333),1
"1901-1925",Vallauris,Point(7.053333333 43.579722222),1
"1901-1925",Wellington,Point(174.777222222 -41.288888888),1
"1901-1925",Saint-Gilles - Sint-Gillis,Point(4.345555555 50.826666666),1
"1901-1925",Palestine,Point(35.145264 31.625321),1
"1901-1925",City of Brussels,Point(4.351666666 50.846666666),1
"1901-1925",Huizum,Point(5.811389 53.191389),1
"1901-1925",Pinar del Río,Point(-83.671944444 22.412222222),1
"1901-1925",Kentfield,Point(-122.54694 37.95139),1
"1901-1925","6th arrondissement of Paris",Point(2.332233333 48.850530555),1
"1901-1925",Musselkanaal,Point(7.0153 52.9292),1
"1901-1925",Aarhus,Point(10.209722222 56.156388888),1
"1901-1925",Odense,Point(10.383333333 55.4),1
"1901-1925",Aalborg,Point(9.916666666 57.05),1
"1901-1925",Saswad,Point(74.0 18.55),1
"1901-1925",Ensival,Point(5.8422 50.5814),1
"1901-1925",St. Gallen,Point(9.377222222 47.423333333),2
"1901-1925",Hampstead,Point(-0.1744 51.5541),1
"1901-1925",Trondheim,Point(10.4 63.44),1
"1901-1925",Tarm,Point(8.5206 55.9053),1
"1901-1925",Rudky,Point(23.488055555 49.653055555),1
"1901-1925",Kinchil Municipality,Point(-90.05 20.833333333),1
"1901-1925",Dordrecht,Point(4.678333333 51.795833333),1
"1901-1925",Golyamo Belovo,Point(23.988818 42.193345),1
"1901-1925",Milner,Point(-84.195 33.11278),1
"1901-1925",Poznań,Point(16.933611111 52.408333333),1
"1901-1925",Gia Định,Point(106.6966172 10.8035404),1
"1901-1925",Neuötting,Point(12.683333333 48.216666666),1
"1901-1925","8th arrondissement of Paris",Point(2.311111111 48.874166666),1
"1901-1925",Alassio,Point(8.173044444 44.007916666),1
"1901-1925",Beckum,Point(8.040833333 51.755833333),1
"1901-1925",Tanta,Point(31.0 30.783333333),1
"1901-1925",Woodruff,Point(-82.0325 34.740555555),1
"1901-1925",Siena,Point(11.331388888 43.318333333),1
"1901-1925",Las Perdices,Point(-63.704444444 -32.698888888),1
"1901-1925",Las Perdices,Point(-63.706388888 -32.698055555),1
"1901-1925",Bogotá,Point(-74.08175 4.60971),1
"1901-1925",Ange-Gardien,Point(-72.933333333 45.35),1
"1901-1925",Aïn Oulmene,Point(5.3 35.91666667),1
"1901-1925",Aït Yahia,Point(4.33027778 36.58111111),1
"1901-1925",Santiago,Point(-70.65 -33.4375),5
"1901-1925",Caibarién,Point(-79.472222222 22.515833333),1
"1901-1925",San Pedro,Point(-118.29 33.74),1
"1901-1925",Moisés Ville,Point(-61.483333333 -30.716666666),2
"1901-1925",Pyrmont,Point(151.1927778 -33.868611111),1
"1901-1925",La Perouse,Point(151.2438889 -33.991388888),1
"1901-1925",Camperdown,Point(151.1844444 -33.89),1
"1901-1925",Montgomery,Point(-86.3 32.3675),2
"1901-1925",Kerteminde,Point(10.659 55.449),1
"1901-1925",United States of America,Point(-98.5795 39.828175),1
"1901-1925",Chengdu,Point(104.063333333 30.66),1
"1901-1925",Paramaribo,Point(-55.166666666 5.866666666),2
"1901-1925",Frederiksberg,Point(12.536388888 55.6775),2
"1901-1925",Ingeniero Luiggi,Point(-64.48333333 -35.41666667),1
"1901-1925",Koblenz,Point(7.597777777 50.359722222),1
"1901-1925",San Salvador,Point(-89.191427777 13.698963888),1
"1901-1925",Sydney,Point(151.21 -33.867777777),1
"1901-1925",Eldoret,Point(35.283333333 0.516666666),1
"1901-1925",Simi Valley,Point(-118.739167 34.270833),1
"1901-1925",Landerneau,Point(-4.249444444 48.450833333),1
"1901-1925",Managua,Point(-86.273766666 12.154372222),1
"1901-1925",Yahata,Point(130.811888888 33.863527777),1
"1901-1925",Singair Upazila,Point(90.15 23.79),1
"1901-1925",Singair Upazila,Point(90.15 23.8167),1
"1901-1925",Trento,Point(11.11666667 46.06666667),1
"1901-1925",Montreal,Point(-73.561666666 45.508888888),1
"1901-1925",Český Dub,Point(14.996273935 50.660600135),1
"1901-1925",Rotterdam,Point(4.48 51.92),1
"1901-1925",Maria Magdalena parish,Point(18.06721667 59.31899444),1
"1901-1925",New Orleans,Point(-90.078333333 29.976111111),1
"1901-1925",Saint-Jean-de-l'Île-d'Orléans,Point(-70.9 46.916666666),1
"1901-1925",Johannesburg,Point(28.041638888 -26.204361111),1
"1901-1925",Hiroshima,Point(132.455305555 34.38525),1
"1901-1925",Iron Station,Point(-81.156111111 35.441388888),1
"1901-1925",Iron Station,Point(-81.15619 35.44152),1
"1901-1925",Teteringen,Point(4.8206 51.6086),1
"1901-1925",Urbina,Point(-2.638055555 42.943919444),1
"1901-1925",Algiers,Point(3.058611111 36.776388888),1
"1901-1925",Tunis,Point(10.18 36.800833333),3
"1901-1925",Minneapolis,Point(-93.269166666 44.981944444),2
"1901-1925",Vizianagaram,Point(83.416666666 18.116666666),1
"1901-1925",Salta,Point(-65.410555555 -24.788333333),1
"1901-1925",Cologne,Point(6.957777777 50.942222222),1
"1901-1925",Serang,Point(106.163333333 -6.108333333),1
"1901-1925",The Hague,Point(4.31 52.08),2
"1901-1925",Bình Định,Point(109.0 14.166666666),1
"1901-1925",Salvador,Point(-38.492777777 -12.983055555),1
"1901-1925",Bamako,Point(-7.992222222 12.645833333),1
"1901-1925",Beavercreek,Point(-122.534444444 45.288055555),1
"1901-1925",Jenin,Point(35.3 32.461111111),1
"1901-1925",Monrovia,Point(-10.804722222 6.310555555),1
"1901-1925",Cherokee County,Point(-94.85 37.1667),1
"1901-1925",Maryborough,Point(152.701944444 -25.5375),1
"1901-1925",Beirut,Point(35.513055555 33.886944444),2
"1901-1925",Adana,Point(35.31346 37.00262),1
"1901-1925",Dodoma,Point(35.746 -6.1835),1
"1901-1925",Kampala,Point(32.581111111 0.313611111),1
"1901-1925",Pretoria,Point(28.188055555 -25.746388888),1
"1901-1925",Liège,Point(5.570555555 50.639722222),1
"1901-1925",Buffalo,Point(-78.878055555 42.886388888),1
"1901-1925",Istanbul,Point(28.960277777 41.01),2
"1901-1925",Australia,Point(133.0 -25.0),1
"1901-1925",Nancy,Point(6.183611111 48.692777777),1
"1901-1925",Borysivka,Point(36.417318004 46.790712527),1
"1901-1925",Amiens,Point(2.297777777 49.891944444),1
"1901-1925",Klagenfurt,Point(14.3 46.616666666),1
"1901-1925",North Korea,Point(127.0 40.0),1
"1901-1925",Jingjiang,Point(120.2547 32.00582),1
"1901-1925",Nazareth,Point(35.29785 32.702102777),1
"1901-1925",Omaha,Point(-95.9375 41.258611111),2
"1901-1925",Richmond,Point(-77.436666666 37.540833333),2
"1901-1925",Guayaquil,Point(-79.8875 -2.19),1
"1901-1925",La Plata,Point(-57.95 -34.933333333),3
"1901-1925",Stari Sanzhary,Point(34.447374121 49.428394232),1
"1901-1925",Charleston,Point(-81.633333333 38.347222222),1
"1901-1925",Entre Ríos Province,Point(-59.3 -32.1),1
"1901-1925",Tucumán Province,Point(-65.5 -27.0),1
"1901-1925",Feskivka,Point(32.160277777 51.4975),1
"1901-1925",Khymchyn,Point(25.149722222 48.383888888),1
"1901-1925",Jilin,Point(125.308333333 43.884166666),1
"1901-1925",Yurivka,Point(38.960555555 48.492777777),1
"1901-1925",Rancagua,Point(-70.739805555 -34.165388888),1
"1901-1925",Sylhet,Point(91.866666666 24.9),1
"1901-1925",Amfissa,Point(22.375277777 38.525277777),1
"1901-1925",Sofia,Point(23.321726 42.697886),1
"1901-1925",Riobamba,Point(-78.648333333 -1.673055555),1
"1901-1925",Asthall Manor,Point(-1.585596 51.800356),1
"1901-1925",Dnipro,Point(35.04 48.4675),1
"1901-1925",Milan,Point(9.19 45.466944444),1
"1901-1925",New Haven,Point(-72.925 41.308333333),1
"1901-1925",Norfolk,Point(-76.285277777 36.846944444),1
"1901-1925",Okfuskee County,Point(-96.33 35.47),1
"1901-1925",Panama Canal Zone,Point(-79.720166666 9.117669444),1
"1901-1925",Seattle,Point(-122.33207 47.60621),2
"1901-1925",Baltimore,Point(-76.615 39.286388888),1
"1901-1925",Chechnya,Point(45.716694444 43.4),1
"1901-1925",Fayt-lez-Manage,Point(4.21666667 50.48333333),1
"1901-1925",Curepe,Point(-61.4 10.633333333),1
"1901-1925",Rosario,Point(-60.639444444 -32.9575),1
"1901-1925",Bonheiden,Point(4.548333333 51.025277777),1
"1901-1925",Marshall,Point(-94.5 32.55),1
"1901-1925",Anfu County,Point(114.616666666 27.383333333),1
"1901-1925",Dylife,Point(-3.6798 52.532),1
"1901-1925",Saladas,Point(-58.62591 -28.25384),1
"1901-1925",Kumanovo,Point(21.714444444 42.132222222),1
"1901-1925",Bærum Municipality,Point(10.506669444 59.938330555),1
"1901-1925",Mary,Point(61.833333333 37.6),1
"1901-1925",Q57408978,Point(11.5582 55.2869),1
"1901-1925",Mattoon,Point(-88.373055555 39.478888888),1
"1901-1925",Banda Aceh,Point(95.3175 5.55),1
"1901-1925",Harvey,Point(-87.6519 41.6108),1
"1901-1925",Łódź,Point(19.466666666 51.75),1
"1901-1925",Oslo,Point(10.738888888 59.913333333),1
"1901-1925",Katowice,Point(19.0 50.25),1
"1901-1925",San Jerónimo de Juárez,Point(-100.469 17.1358),1
"1901-1925",San Jerónimo de Juárez,Point(-98.733333333 16.716666666),1
"1901-1925",New York City,Point(-74.0 40.7),4
"1901-1925",Chiapas,Point(-92.45 16.53),1
"1901-1925",Coevorden,Point(6.75 52.666666666),1
"1901-1925",Potchefstroom,Point(27.103333333 -26.715),1
"1901-1925",Armidale,Point(151.666666666 -30.5),1
"1901-1925",Iperu,Point(3.6632 6.9143),1
"1901-1925","Washington, D.C.",Point(-77.036666666 38.895),2
"1901-1925",Nellore,Point(79.966666666 14.433333333),1
"1901-1925",San Francisco,Point(-122.416388888 37.7775),3
"1901-1925",Lodi,Point(9.5 45.316666666),1
"1901-1925",Neuves-Maisons,Point(6.103611111 48.616111111),1
"1901-1925",Berlin,Point(13.383333333 52.516666666),6
"1901-1925",Kline,Point(-108.119 37.1442),1
"1901-1925",Rivera,Point(-55.550555555 -30.9025),1
"1901-1925",Asheville,Point(-82.551944444 35.595555555),1
"1901-1925",Moscow,Point(37.617777777 55.755833333),4
"1901-1925",Los Angeles,Point(-118.24368 34.05223),2
"1901-1925",Bairro Alto,Point(-9.145193 38.713746),1
"1901-1925",Lillian G. Carter Nursing Center,Point(-84.3898702 32.0378057),1
"1901-1925",Chihuahua,Point(-106.073333333 28.639166666),2
"1901-1925",Saint Petersburg,Point(30.316666666 59.95),2
"1901-1925",Saint-Imier,Point(7.0 47.152777777),1
"1901-1925",Schwarzau am Steinfeld,Point(16.166666666 47.716666666),1
"1901-1925",Steckborn,Point(8.983055555 47.666388888),1
"1901-1925",Worthing,Point(-0.371386111 50.814711111),1
"1901-1925",Cosnac,Point(1.585555555 45.134166666),1
"1901-1925",Manalur,Point(76.1 10.495833333),1
"1901-1925",Colmar-Berg,Point(6.097222222 49.811111111),1
"1901-1925",Trogen,Point(9.464722222 47.4075),1
"1901-1925",Esneux,Point(5.566666666 50.533333333),1
"1901-1925",Wohlen,Point(8.277777777 47.350555555),1
"1901-1925",Lichtensteig,Point(9.083055555 47.316388888),1
"1901-1925",Ittigen,Point(7.479166666 46.9775),1
"1901-1925",Colombier,Point(6.866666666 46.966666666),1
"1901-1925",Geneva,Point(6.15 46.2),1
"1901-1925",Waremme,Point(5.25 50.7),1
"1901-1925",Zürich,Point(8.541111111 47.374444444),2
"1901-1925",Najafabad,Point(51.365277777 32.634722222),1
"1901-1925",Ascot Vale,Point(144.919 -37.779),1
"1901-1925",Poros,Point(23.466666666 37.516666666),1
"1901-1925",Amsterdam,Point(4.893611111 52.372777777),3
"1901-1925",Concepción del Uruguay,Point(-58.233333333 -32.483333333),1
"1901-1925",Rawene,Point(173.505 -35.396111111),1
"1901-1925",Remuera,Point(174.798 -36.877),1
"1901-1925",Cross River State,Point(8.5 5.75),1
"1901-1925",Chelsea,Point(-0.1684 51.4875),1
"1901-1925",Bolivia,Point(-64.991228611 -17.056869611),1
"1901-1925",Avellaneda,Point(-58.367777777 -34.6625),1
"1901-1925",Yogyakarta,Point(110.391280229 -7.800456766),1
"1901-1925",Białystok,Point(23.166666666 53.116666666),1
"1901-1925",Stradbroke Island,Point(153.459844444 -27.532777777),1
"1901-1925",Strawberry Mansion,Point(-75.1826 39.9833),1
"1901-1925",Cúa,Point(-66.883333333 10.166666666),1
"1901-1925",Spartanburg,Point(-81.934722222 34.948055555),1
"1901-1925",San Lorenzo,Point(-65.968611111 18.189722222),1
"1901-1925",Gadsden,Point(-86.010356 34.010147),1
"1901-1925",Tuskegee,Point(-85.706781 32.431506),1
"1901-1925",Konya,Point(32.492138888 37.872769444),1
"1901-1925",Huntsville,Point(-86.586111111 34.713611111),1
"1901-1925",Birmingham,Point(-86.809444444 33.5175),2
"1901-1925",Paris,Point(-93.726111111 35.291666666),1
"1901-1925",Whitman,Point(-82.0244 37.8133),1
"1901-1925",Costa Rica,Point(-84.0 10.0),1
"1901-1925",Chiba Prefecture,Point(140.123194444 35.604583333),1
"1901-1925",Bago,Point(96.498055555 17.343333333),1
"1901-1925",Utrecht,Point(5.121666666 52.090833333),1
"1901-1925",Etzwilen,Point(8.81798 47.65777),1
"1901-1925",Irapuato,Point(-101.3475 20.674166666),1
"1901-1925",Dwarka,Point(68.968611111 22.240277777),1
"1901-1925",Savannah,Point(-81.103888888 32.050833333),1
"1901-1925",London,Point(-0.1275 51.507222222),4
"1901-1925",Concepción,Point(-57.441388888 -23.4025),1
"1901-1925",Rogliano,Point(9.418333333 42.956111111),1
"1901-1925",Pakistan,Point(71.0 30.0),1
"1901-1925",Deneuille-les-Mines,Point(2.782222222 46.378611111),1
"1901-1925",Caldwell,Point(-116.680277777 43.658333333),1
"1901-1925",Cairo,Point(31.235833333 30.044444444),5
"1901-1925",North Kordofan,Point(29.533333333 14.366666666),1
"1901-1925",Hong Kong,Point(114.158611111 22.278333333),1
"1901-1925",Seoul,Point(126.99 37.56),2
"1901-1925",Dąbie,Point(14.654444444 53.381111111),1
"1901-1925",South Korea,Point(128.0 36.0),1
"1901-1925",Paris,Point(2.352222222 48.856666666),1
"1901-1925",Brussels metropolitan area,Point(4.3525 50.846666666),1
"1901-1925",Bangladesh,Point(89.866667 24.016667),1
"1901-1925",Capdepera,Point(3.433333 39.7),1
"1901-1925",Villa Domínguez,Point(-58.967 -31.983),1
"1901-1925",Jaén Province,Point(-3.5 38.0),1
"1901-1925",Santa Rosa de Copán,Point(-88.7781 14.767525),2
"1901-1925",Horki,Point(30.983333333 54.283333333),1
"1901-1925",Chinook,Point(-109.233333333 48.583333333),1
"1901-1925",Est en Opijnen,Point(5.297899 51.829147),1
"1901-1925",Fort Dodge,Point(-94.180277777 42.506666666),1
"1901-1925",Englewood,Point(-73.975801 40.893343),1
"1901-1925",Luque,Point(-4.2783969 37.5576817),1
"1901-1925",Buenaventura,Point(-77.026666666 3.877222222),1
"1926-1950",Boston,Point(-71.057777777 42.360277777),1
"1926-1950",Karkliniai,Point(23.167 54.531433333),1
"1926-1950",Varto,Point(41.454166666 39.169444444),1
"1926-1950",Maple Heights,Point(-81.55944 41.41222),1
"1926-1950",Perušić,Point(15.234602777 44.607577777),1
"1926-1950",Puerto Cabezas,Point(-83.383125 14.029413888),1
"1926-1950",Eatonton,Point(-83.387777777 33.326388888),1
"1926-1950",Cape Verde,Point(-23.7 15.3),1
"1926-1950",Vasylkivka,Point(36.025318112 48.208379589),1
"1926-1950",Manatuto,Point(126.016666666 -8.516666666),1
"1926-1950",Fermoy,Point(-8.276138 52.142022),1
"1926-1950",Uyuni,Point(-66.823888888 -20.462777777),1
"1926-1950",Klerksdorp,Point(26.666666666 -26.866666666),1
"1926-1950",Portage la Prairie,Point(-98.291944444 49.972777777),1
"1926-1950",Rozenburg,Point(4.2486 51.9058),1
"1926-1950",Guánica,Point(-66.908055555 17.971666666),1
"1926-1950",Sivrihisar,Point(31.524722222 39.459444444),1
"1926-1950",Murree,Point(73.3903 33.9042),1
"1926-1950",Morgan City,Point(-91.1972 29.7008),1
"1926-1950",Yengisar County,Point(76.17013 38.93158),1
"1926-1950",Jutiapa,Point(-89.8925 14.282777777),1
"1926-1950",Jutiapa,Point(-89.895833333 14.291666666),1
"1926-1950",San Marcos,Point(-91.795833333 14.965277777),1
"1926-1950",Washington,Point(-77.051944444 35.553611111),2
"1926-1950",Pamplona,Point(-1.65 42.816666666),1
"1926-1950",Zaragoza,Point(-0.883333333 41.65),1
"1926-1950",San Sebastián,Point(-1.98 43.32),1
"1926-1950",Torre Pellice,Point(7.223333333 44.820277777),1
"1926-1950",Alexandrovsk-Sakhalinsky,Point(142.15 50.9),1
"1926-1950",Bandung,Point(107.6187558 -6.9021856),1
"1926-1950",Bogor,Point(106.799263333 -6.597802777),1
"1926-1950",Senegal,Point(-14.283333 14.366667),1
